City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jiexiu,37.0244,111.9125,294.99,97,100,2.38,CN,2023-07-30
1,skibbereen,51.55,-9.2667,288.77,92,97,8.98,IE,2023-07-30
2,rikitea,-23.1203,-134.9692,293.85,65,87,11.39,PF,2023-07-30
3,cherskiy,68.75,161.3,278.26,97,100,0.99,RU,2023-07-30
4,teahupoo,-17.8333,-149.2667,294.13,79,96,8.24,PF,2023-07-30
5,neftcala,39.3742,49.2472,301.38,51,83,4.98,AZ,2023-07-30
6,new philadelphia,40.4898,-81.4457,289.74,96,17,0.45,US,2023-07-30
7,tuktoyaktuk,69.4541,-133.0374,286.11,69,0,5.84,CA,2023-07-30
8,tongren,27.7172,109.1853,301.16,86,69,1.26,CN,2023-07-30
9,cabo san lucas,22.8909,-109.9124,303.43,70,0,5.39,MX,2023-07-30
10,mataura,-46.1927,168.8643,281.19,97,12,1.81,NZ,2023-07-30
11,san andres,12.5847,-81.7006,301.16,83,40,5.66,CO,2023-07-30
12,latung,5.5,120.8833,301.37,82,41,5.23,PH,2023-07-30
13,simi,9.5667,-12.35,298.68,90,100,1.63,SL,2023-07-30
14,busselton,-33.65,115.3333,287.96,70,98,2.98,AU,2023-07-30
15,punta arenas,-53.15,-70.9167,273.51,73,29,5.9,CL,2023-07-30
16,champerico,14.3,-91.9167,298.6,82,97,2.16,GT,2023-07-30
17,lebu,-37.6167,-73.65,284.84,93,92,2.1,CL,2023-07-30
18,atuona,-9.8,-139.0333,299.2,71,52,11.72,PF,2023-07-30
19,pacsa,46.7198,17.014,293.81,88,20,2.06,HU,2023-07-30
20,provideniya,64.3833,-173.3,281.98,98,100,3.72,RU,2023-07-30
21,carnarvon,-24.8667,113.6333,291.89,54,0,5.58,AU,2023-07-30
22,tiksi,71.6872,128.8694,275.06,89,45,4.58,RU,2023-07-30
23,sur,22.5667,59.5289,311.05,45,7,3.41,OM,2023-07-30
24,dapaong,10.8639,0.205,302.87,60,100,4.56,TG,2023-07-30
25,albany,42.6001,-73.9662,287.82,86,45,2.68,US,2023-07-30
26,venado tuerto,-33.7456,-61.9688,280.8,57,88,3.47,AR,2023-07-30
27,mbandaka,0.0487,18.2603,304.37,49,37,0.95,CD,2023-07-30
28,kemijarvi,66.7131,27.4306,287.46,93,100,1.64,FI,2023-07-30
29,gorontalo,0.5412,123.0595,298.26,85,100,2.33,ID,2023-07-30
30,qaanaaq,77.484,-69.3632,280.03,84,90,0.17,GL,2023-07-30
31,vilhena,-12.7406,-60.1458,291.27,82,0,4.12,BR,2023-07-30
32,hilo,19.7297,-155.09,299.97,89,76,2.68,US,2023-07-30
33,khatanga,71.9667,102.5,302.56,30,7,4.99,RU,2023-07-30
34,leningradskiy,69.3833,178.4167,278.85,91,100,1.59,RU,2023-07-30
35,butaritari,3.0707,172.7902,301.47,79,91,3.03,KI,2023-07-30
36,upernavik,72.7868,-56.1549,276.65,88,50,3.07,GL,2023-07-30
37,bathsheba,13.2167,-59.5167,298.49,94,40,4.63,BB,2023-07-30
38,reyes,-14.3167,-67.3833,292.16,87,68,0.94,BO,2023-07-30
39,thompson,55.7435,-97.8558,286.24,94,100,2.57,CA,2023-07-30
40,palana,59.1167,159.9667,282.89,68,99,3.04,RU,2023-07-30
41,shingu,33.7333,135.9833,299.46,91,81,1.01,JP,2023-07-30
42,cidreira,-30.1811,-50.2056,285.43,82,3,4.37,BR,2023-07-30
43,hualmay,-11.0964,-77.6139,291.28,85,56,2.41,PE,2023-07-30
44,vaini,-21.2,-175.2,292.24,82,20,3.09,TO,2023-07-30
45,port alfred,-33.5906,26.891,287.14,63,80,7.15,ZA,2023-07-30
46,longyearbyen,78.2186,15.6401,283.06,62,75,4.63,SJ,2023-07-30
47,moree,-29.4667,149.85,290.34,52,59,3.17,AU,2023-07-30
48,gat,31.61,34.7642,307.26,100,0,6.66,IL,2023-07-30
49,benguela,-12.5763,13.4055,296.75,66,38,4.16,AO,2023-07-30
50,dikson,73.5069,80.5464,275.22,98,100,6.3,RU,2023-07-30
51,faanui,-16.4833,-151.75,300.14,69,99,7.02,PF,2023-07-30
52,bluff,-46.6,168.3333,281.37,83,58,7.01,NZ,2023-07-30
53,biskamzha,53.4497,89.5272,296.72,52,74,3.47,RU,2023-07-30
54,margate,51.3813,1.3862,295.2,52,43,4.02,GB,2023-07-30
55,kapaa,22.0752,-159.319,299.33,89,75,6.17,US,2023-07-30
56,moussoro,13.6408,16.4901,310.89,31,31,7.04,TD,2023-07-30
57,alofi,-19.0595,-169.9187,293.09,94,100,4.12,NU,2023-07-30
58,kommunisticheskiy,61.6789,64.4819,299.49,39,1,2.79,RU,2023-07-30
59,storslett,69.7678,21.0247,287.15,82,75,4.12,NO,2023-07-30
60,jamestown,42.097,-79.2353,287.85,100,3,0.95,US,2023-07-30
61,port elizabeth,-33.918,25.5701,287.31,67,20,15.95,ZA,2023-07-30
62,san policarpo,12.1791,125.5072,301.18,76,100,3.56,PH,2023-07-30
63,manbij,36.5281,37.9549,310.92,21,0,7.09,SY,2023-07-30
64,katsuura,35.1333,140.3,300.06,85,7,7.36,JP,2023-07-30
65,samfya,-11.3649,29.5565,302.68,17,8,1.1,ZM,2023-07-30
66,batemans bay,-35.7167,150.1833,287.65,60,0,3.1,AU,2023-07-30
67,biak,-0.9131,122.8766,297.87,83,100,2.94,ID,2023-07-30
68,san cristobal,7.7669,-72.225,297.25,95,64,2.19,VE,2023-07-30
69,hobart,-42.8794,147.3294,282.74,71,20,5.14,AU,2023-07-30
70,mahebourg,-20.4081,57.7,298.85,63,5,5.18,MU,2023-07-30
71,castro,-24.7911,-50.0119,282.4,92,86,1.44,BR,2023-07-30
72,hithadhoo,-0.6,73.0833,300.94,73,70,2.63,MV,2023-07-30
73,mvomero,-6.25,38.6667,303.28,44,59,2.7,TZ,2023-07-30
74,casablanca,33.5928,-7.6192,304.27,63,1,3.79,MA,2023-07-30
75,cavalcante,-13.7975,-47.4583,297.24,40,22,2.14,BR,2023-07-30
76,lewisporte,49.2499,-55.0482,288.99,95,100,2.32,CA,2023-07-30
77,road town,18.4167,-64.6167,301.52,76,66,7.44,VG,2023-07-30
78,gondar,12.6,37.4667,294.43,68,96,2.41,ET,2023-07-30
79,nikolskoye,59.7035,30.7861,297.09,40,30,3.12,RU,2023-07-30
80,mount isa,-20.7333,139.5,290.02,55,55,2.57,AU,2023-07-30
81,puerto ayora,-0.7393,-90.3518,296.23,97,51,3.22,EC,2023-07-30
82,yima,34.7381,111.8839,300.34,75,75,2.43,CN,2023-07-30
83,ushuaia,-54.8,-68.3,272.96,74,20,9.26,AR,2023-07-30
84,avarua,-21.2078,-159.775,296.18,100,75,2.06,CK,2023-07-30
85,nikolayevsk-na-amure,53.1406,140.73,288.72,98,100,1.62,RU,2023-07-30
86,grindavik,63.8424,-22.4338,285.41,87,100,4.63,IS,2023-07-30
87,saskylakh,71.9167,114.0833,295.98,34,7,5.01,RU,2023-07-30
88,vao,-22.6667,167.4833,292.1,74,19,7.51,NC,2023-07-30
89,caravelas,-17.7125,-39.2481,294.85,88,100,5.32,BR,2023-07-30
90,talnakh,69.4865,88.3972,296.04,65,96,0.31,RU,2023-07-30
91,cape town,-33.9258,18.4232,287.64,61,66,3.13,ZA,2023-07-30
92,brae,60.3964,-1.353,288.63,79,66,0.97,GB,2023-07-30
93,severo-kurilsk,50.6789,156.125,284.24,98,100,5.62,RU,2023-07-30
94,mount gambier,-37.8333,140.7667,281.62,78,19,3.4,AU,2023-07-30
95,manaus,-3.1019,-60.025,300.42,74,0,2.06,BR,2023-07-30
96,churu,28.3,74.95,308.84,43,51,6.26,IN,2023-07-30
97,sao filipe,14.8961,-24.4956,298.36,77,83,2.18,CV,2023-07-30
98,hambantota,6.1241,81.1185,308.34,52,20,7.2,LK,2023-07-30
99,nabire,-3.3667,135.4833,298.06,88,98,1.34,ID,2023-07-30
100,birin,26.8865,88.0718,295.89,82,81,1.25,NP,2023-07-30
101,muros,42.7762,-9.0603,296.95,62,41,3.82,ES,2023-07-30
102,mossendjo,-2.9506,12.7261,303.73,41,14,2.15,CG,2023-07-30
103,saldanha,-33.0117,17.9442,286.24,56,46,5.69,ZA,2023-07-30
104,maceio,-9.6658,-35.7353,298.04,82,22,3.09,BR,2023-07-30
105,mar del plata,-38.0023,-57.5575,284.87,79,100,1.79,AR,2023-07-30
106,chuy,-33.6971,-53.4616,280.28,91,89,2.83,UY,2023-07-30
107,de-kastri,51.4667,140.7833,289.61,99,100,1.99,RU,2023-07-30
108,new norfolk,-42.7826,147.0587,282.55,70,51,5.41,AU,2023-07-30
109,east london,-33.0153,27.9116,289.67,41,0,14.4,ZA,2023-07-30
110,koslan,63.4564,48.8989,304.64,40,23,4.89,RU,2023-07-30
111,bredasdorp,-34.5322,20.0403,285.48,62,65,9.88,ZA,2023-07-30
112,tasiilaq,65.6145,-37.6368,277.58,80,87,0.8,GL,2023-07-30
113,la asuncion,11.0333,-63.8628,298.9,87,100,7.9,VE,2023-07-30
114,klaksvik,62.2266,-6.589,288.66,94,97,3.88,FO,2023-07-30
115,norman wells,65.282,-126.8329,288.93,72,0,1.58,CA,2023-07-30
116,broken hill,-31.95,141.4333,286.4,53,0,4.06,AU,2023-07-30
117,chiang klang,19.2938,100.8617,298.21,99,100,1.13,TH,2023-07-30
118,ribeira grande,38.5167,-28.7,297.37,88,75,2.06,PT,2023-07-30
119,san patricio,28.017,-97.5169,301.4,90,1,1.73,US,2023-07-30
120,altay,47.8667,88.1167,302.66,23,0,3.82,CN,2023-07-30
121,barrow,71.2906,-156.7887,284.16,93,0,3.09,US,2023-07-30
122,cartagena,10.3997,-75.5144,299.4,87,7,2.42,CO,2023-07-30
123,skelleftea,64.7507,20.9528,294.35,52,76,1.54,SE,2023-07-30
124,fremont,37.5483,-121.9886,289.22,86,40,2.57,US,2023-07-30
125,lata,40.1629,-8.3327,301.2,47,7,3.33,PT,2023-07-30
126,manokwari,-0.8667,134.0833,300.31,69,100,5.02,ID,2023-07-30
127,vila franca do campo,37.7167,-25.4333,296.38,64,19,1.62,PT,2023-07-30
128,saint george,37.1041,-113.5841,299.48,42,0,4.63,US,2023-07-30
129,preeceville,51.95,-102.6677,283.45,70,0,1.74,CA,2023-07-30
130,yulara,-25.2406,130.9889,293.08,36,5,4.16,AU,2023-07-30
131,mitu,1.1983,-70.1733,294.69,98,94,0.97,CO,2023-07-30
132,anloga,5.7947,0.8973,299.29,80,94,4.55,GH,2023-07-30
133,nouadhibou,20.931,-17.0347,293.9,90,66,6.51,MR,2023-07-30
134,college,64.8569,-147.8028,288.75,86,80,0.45,US,2023-07-30
135,gobabis,-22.45,18.9667,285.58,26,6,5.78,NA,2023-07-30
136,hermanus,-34.4187,19.2345,285.82,65,77,10.5,ZA,2023-07-30
137,semiletka,55.3603,54.6153,306.23,29,95,5.58,RU,2023-07-30
138,wattegama,6.7989,81.4808,307.9,39,96,3.58,LK,2023-07-30
139,souillac,-20.5167,57.5167,296.65,62,9,4.76,MU,2023-07-30
140,coquimbo,-29.9533,-71.3436,286.05,92,65,0.86,CL,2023-07-30
141,san luis,-33.295,-66.3356,285.87,43,99,2.21,AR,2023-07-30
142,andenes,69.3143,16.1194,287.0,88,20,8.23,NO,2023-07-30
143,tosya,41.0155,34.0401,300.2,29,0,2.72,TR,2023-07-30
144,harper,4.375,-7.7169,299.04,81,100,3.63,LR,2023-07-30
145,belmonte,-15.8631,-38.8828,295.33,84,100,2.76,BR,2023-07-30
146,riyadh,24.6877,46.7219,316.85,7,0,3.88,SA,2023-07-30
147,honningsvag,70.9821,25.9704,284.01,100,100,4.12,NO,2023-07-30
148,namatanai,-3.6667,152.4333,299.65,83,100,2.22,PG,2023-07-30
149,namibe,-15.1961,12.1522,296.39,49,16,3.92,AO,2023-07-30
150,mineiros,-17.5694,-52.5511,291.0,65,5,1.63,BR,2023-07-30
151,abdulino,53.7,53.6667,300.74,42,88,4.88,RU,2023-07-30
152,ponta do sol,32.6667,-17.1,301.88,65,0,0.57,PT,2023-07-30
153,hamilton,39.1834,-84.5333,295.32,92,20,0.0,US,2023-07-30
154,calama,-22.4667,-68.9333,283.9,18,0,3.97,CL,2023-07-30
155,bubaque,11.2833,-15.8333,298.14,91,100,8.04,GW,2023-07-30
156,burnie,-41.0667,145.9167,281.73,67,35,6.3,AU,2023-07-30
157,martapura,-3.4167,114.85,302.2,65,20,3.6,ID,2023-07-30
158,victoria,22.2855,114.1577,303.33,89,100,0.89,HK,2023-07-30
159,ilulissat,69.2167,-51.1,279.16,93,75,0.51,GL,2023-07-30
160,lagoa,39.05,-27.9833,295.63,86,67,4.36,PT,2023-07-30
161,bandarbeyla,9.4942,50.8122,300.71,67,39,14.87,SO,2023-07-30
162,saint-philippe,-21.3585,55.7679,296.92,71,23,4.81,RE,2023-07-30
163,vostok,46.4856,135.8833,290.68,94,33,1.84,RU,2023-07-30
164,torbay,47.6666,-52.7314,291.58,91,100,2.57,CA,2023-07-30
165,srednekolymsk,67.45,153.6833,279.98,73,26,3.99,RU,2023-07-30
166,marevo,57.3146,32.0804,297.24,37,10,1.91,RU,2023-07-30
167,pangoa,-12.1167,-73.0,291.85,88,96,1.26,PE,2023-07-30
168,beloha,-25.1667,45.05,302.34,21,25,2.6,MG,2023-07-30
169,hami,42.8,93.45,306.03,19,100,5.45,CN,2023-07-30
170,gaoua,10.2992,-3.2508,301.81,64,57,2.89,BF,2023-07-30
171,bambous virieux,-20.3428,57.7575,298.83,60,75,4.12,MU,2023-07-30
172,rong kwang,18.339,100.3174,298.75,94,100,1.83,TH,2023-07-30
173,pisco,-13.7,-76.2167,291.49,81,15,0.47,PE,2023-07-30
174,itarema,-2.9248,-39.9167,300.39,72,14,6.83,BR,2023-07-30
175,atasu,48.6814,71.6433,306.9,23,61,3.8,KZ,2023-07-30
176,garden city,42.3256,-83.331,292.05,87,75,2.06,US,2023-07-30
177,teya,60.3778,92.6267,291.49,96,100,2.32,RU,2023-07-30
178,mahanoro,-19.9,48.8,297.45,57,0,3.86,MG,2023-07-30
179,seymchan,62.8833,152.4333,286.65,54,84,3.72,RU,2023-07-30
180,arraial do cabo,-22.9661,-42.0278,292.07,82,75,1.03,BR,2023-07-30
181,georgetown,5.4112,100.3354,304.12,74,20,4.63,MY,2023-07-30
182,bang saphan,11.2126,99.5117,302.57,68,46,4.83,TH,2023-07-30
183,yarada,17.65,83.2667,306.33,58,75,4.12,IN,2023-07-30
184,atikokan,48.7555,-91.6216,283.42,77,30,1.95,CA,2023-07-30
185,viedma,-40.8135,-62.9967,286.13,56,100,6.29,AR,2023-07-30
186,kahului,20.8947,-156.47,298.62,73,14,2.68,US,2023-07-30
187,ilawe,7.8667,4.4333,297.85,88,100,2.52,NG,2023-07-30
188,vardo,70.3705,31.1107,285.14,94,100,3.6,NO,2023-07-30
189,kodiak,57.79,-152.4072,284.43,89,20,2.61,US,2023-07-30
190,paamiut,61.994,-49.6678,277.74,92,64,6.68,GL,2023-07-30
191,hasaki,35.7333,140.8333,303.88,84,0,7.76,JP,2023-07-30
192,liku,-0.7275,119.8922,297.6,88,27,0.54,ID,2023-07-30
193,salalah,17.0151,54.0924,298.93,85,91,4.3,OM,2023-07-30
194,barcelos,41.5388,-8.6151,297.42,46,0,3.56,PT,2023-07-30
195,ostrovnoy,68.0531,39.5131,290.36,74,76,3.71,RU,2023-07-30
196,fortuna,40.5982,-124.1573,288.34,100,100,0.0,US,2023-07-30
197,sechura,-5.5569,-80.8222,293.47,85,30,4.03,PE,2023-07-30
198,clyde river,70.4692,-68.5914,277.9,73,100,0.64,CA,2023-07-30
199,sompeta,18.9333,84.6,306.4,65,100,2.91,IN,2023-07-30
200,ucluelet,48.9329,-125.5528,285.42,92,3,1.3,CA,2023-07-30
201,iqaluit,63.7506,-68.5145,276.63,94,92,1.12,CA,2023-07-30
202,bethel,41.3712,-73.414,290.38,83,4,0.45,US,2023-07-30
203,luderitz,-26.6481,15.1594,288.32,41,0,8.05,NA,2023-07-30
204,ballina,-28.8667,153.5667,289.14,79,24,4.93,AU,2023-07-30
205,severnyy,50.677,36.5532,296.17,53,0,4.02,RU,2023-07-30
206,hovd,48.0056,91.6419,299.69,23,20,2.84,MN,2023-07-30
207,suntar,62.1444,117.6319,296.42,55,64,2.08,RU,2023-07-30
208,bontang,0.1333,117.5,300.6,80,48,5.3,ID,2023-07-30
209,cooma,-36.2333,149.1333,279.25,71,0,3.14,AU,2023-07-30
210,buta,2.7858,24.73,306.78,43,42,1.85,CD,2023-07-30
211,shunyi,40.125,116.6453,296.12,100,75,5.0,CN,2023-07-30
212,gornopravdinsk,60.05,69.9,293.9,79,91,3.43,RU,2023-07-30
213,rafiganj,24.8167,84.65,303.23,51,97,3.01,IN,2023-07-30
214,half moon bay,37.4636,-122.4286,288.21,90,100,4.12,US,2023-07-30
215,abilene,32.4487,-99.7331,298.19,51,1,3.15,US,2023-07-30
216,alindao,5.0267,21.2088,303.54,63,61,2.02,CF,2023-07-30
217,ancud,-41.8697,-73.8203,283.03,94,29,5.32,CL,2023-07-30
218,sioni,41.9895,45.0239,292.35,97,100,1.39,GE,2023-07-30
219,kamenka,51.3223,42.7678,296.77,49,5,7.7,RU,2023-07-30
220,kosonsoy,41.2561,71.5508,307.46,14,3,5.53,UZ,2023-07-30
221,komsomolskiy,40.4272,71.7189,309.55,23,0,3.09,UZ,2023-07-30
222,shirgaon,19.7,72.7,301.1,80,30,8.13,IN,2023-07-30
223,noumea,-22.2763,166.4572,289.14,75,18,3.08,NC,2023-07-30
224,placido de castro,-10.3353,-67.1856,293.53,77,64,1.19,BR,2023-07-30
225,stranda,62.3096,6.9358,292.34,92,100,3.11,NO,2023-07-30
226,narrabri,-30.3167,149.7833,290.11,65,92,0.53,AU,2023-07-30
227,soure,-0.7167,-48.5233,300.91,78,0,6.57,BR,2023-07-30
228,lipari,38.4674,14.954,304.44,64,0,1.56,IT,2023-07-30
229,esmeraldas,-19.7625,-44.3139,291.66,75,3,4.08,BR,2023-07-30
230,kindu,-2.95,25.95,311.51,24,23,0.98,CD,2023-07-30
231,nome,64.5011,-165.4064,282.13,99,100,2.16,US,2023-07-30
232,talara,-4.5772,-81.2719,293.95,84,32,6.49,PE,2023-07-30
233,inirida,3.8653,-67.9239,295.85,98,94,0.23,CO,2023-07-30
234,ahipara,-35.1667,173.1667,280.27,87,4,0.96,NZ,2023-07-30
235,sulangan,11.1373,123.7228,302.1,76,100,6.36,PH,2023-07-30
236,parintins,-2.6283,-56.7358,298.83,73,11,1.36,BR,2023-07-30
237,marawi,7.9986,124.2928,294.53,88,95,2.53,PH,2023-07-30
238,churapcha,62.0025,132.4325,291.56,57,41,2.12,RU,2023-07-30
239,emba,48.8264,58.1442,309.68,20,79,5.13,KZ,2023-07-30
240,nhulunbuy,-12.2333,136.7667,296.49,88,84,3.6,AU,2023-07-30
241,chaozhou,23.6651,116.6379,300.19,88,97,2.22,CN,2023-07-30
242,ambon,-3.6954,128.1814,301.97,95,90,3.09,ID,2023-07-30
243,huanren,41.2647,125.3667,295.23,98,100,1.13,CN,2023-07-30
244,soyo,-6.1349,12.3689,296.56,69,30,4.35,AO,2023-07-30
245,albion,42.2431,-84.753,291.13,88,0,0.0,US,2023-07-30
246,salta,-24.7859,-65.4117,283.87,55,0,1.17,AR,2023-07-30
247,otane,-39.8833,176.6333,276.49,95,2,1.04,NZ,2023-07-30
248,santa rosalia,27.3167,-112.2833,301.78,71,90,3.01,MX,2023-07-30
249,geraldton,-28.7667,114.6,287.38,88,18,3.09,AU,2023-07-30
250,killybegs,54.6333,-8.45,288.99,80,96,6.3,IE,2023-07-30
251,boa vista,2.8197,-60.6733,297.14,88,75,0.51,BR,2023-07-30
252,saryg-sep,51.5,95.6,301.81,31,0,2.77,RU,2023-07-30
253,hedaru,-4.5,37.9,301.97,41,72,3.98,TZ,2023-07-30
254,buala,-8.145,159.5921,299.29,87,100,4.05,SB,2023-07-30
255,sioux lookout,50.1001,-91.917,284.53,77,77,2.44,CA,2023-07-30
256,valparaiso,-33.0393,-71.6273,288.15,67,100,3.22,CL,2023-07-30
257,yomou,7.5603,-9.2653,295.75,90,100,0.88,GN,2023-07-30
258,kudahuvadhoo,2.6708,72.8944,301.27,74,100,3.35,MV,2023-07-30
259,puro,12.4841,123.3827,301.11,77,100,8.47,PH,2023-07-30
260,yellowknife,62.456,-114.3525,287.22,89,42,1.68,CA,2023-07-30
261,greifswald,54.1,13.3833,295.97,100,71,5.95,DE,2023-07-30
262,benjamin constant,-4.3831,-70.0311,293.4,78,28,0.51,BR,2023-07-30
263,abay,49.6311,72.8539,305.36,28,72,5.35,KZ,2023-07-30
264,cururupu,-1.8283,-44.8683,299.66,83,6,2.74,BR,2023-07-30
265,umm lajj,25.0213,37.2685,305.67,66,25,5.19,SA,2023-07-30
266,erenhot,43.6475,111.9767,307.37,22,1,7.4,CN,2023-07-30
267,zinder,13.8072,8.9881,308.37,36,29,6.61,NE,2023-07-30
268,grand gaube,-20.0064,57.6608,298.92,61,5,3.13,MU,2023-07-30
269,pirgos,35.1167,25.7178,303.72,43,0,6.16,GR,2023-07-30
270,rize,40.9044,40.8949,288.05,79,61,1.74,TR,2023-07-30
271,sinnamary,5.3833,-52.95,299.12,87,23,4.12,GF,2023-07-30
272,plettenberg bay,-34.0527,23.3716,285.67,64,92,10.32,ZA,2023-07-30
273,zaraza,9.3503,-65.3245,296.16,98,84,0.75,VE,2023-07-30
274,urumqi,43.801,87.6005,300.68,28,0,3.0,CN,2023-07-30
275,hit,33.6416,42.8251,317.19,7,0,6.22,IQ,2023-07-30
276,sishui,35.6489,117.2758,299.66,90,91,4.85,CN,2023-07-30
277,puerto escondido,15.85,-97.0667,300.08,81,100,1.89,MX,2023-07-30
278,kemerovo,55.3333,86.0833,296.98,73,40,3.13,RU,2023-07-30
279,rocha,-34.4833,-54.3333,279.69,83,54,2.96,UY,2023-07-30
